SPEC_ID,PROTECTED = P,GENUS,SPECIES,COUNTRY,LOCALITY,QUARRY,DATE COLLECTED,SEX,BONE,SIDE,AGE,tx12,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16, M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,
FAM13885,,Cormohipparion,sp.,1,0,,,male,mandible,right,12.0,311.8,88.9,60.9,60.1,121,93.7,40,148.8,130.1,75.8,53.7,35.9,62.7,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM13885,,Cormohipparion,sp.,1,0,,,male,tmc,right,12.0,8.5,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM13885,,Cormohipparion,sp.,1,0,,,male,tmi1,right,12.0,9.4,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM13885,,Cormohipparion,sp.,1,0,,,male,tmi2,right,12.0,11.9,0,0,0,0,8.9,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM13885,,Cormohipparion,sp.,1,0,,,male,tmi3,right,12.0,10.8,0,0,0,0,7.7,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM13885,,Cormohipparion,sp.,1,0,,,male,tmm1,right,12.0,18.4,0,11,4.4,4.7,10.3,0,10.6,9.1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM13885,,Cormohipparion,sp.,1,0,,,male,tmm2,right,12.0,17.9,0,10.8,4.8,5.7,9.5,0,9.6,8.3,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM13885,,Cormohipparion,sp.,1,0,,,male,tmm3,right,12.0,tx12,23,0,10.2,5.6,5.4,8.5,0,8.9,7.8,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FAM13885,,Cormohipparion,sp.,1,0,,,male,tmp2,right,12.0,21.7,0,9.1,0,8.3,11.8,0,9.6,11.6,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM13885,,Cormohipparion,sp.,1,0,,,male,tmp3,right,12.0,19.6,0,12.3,6.1,9.4,13.9,0,12.4,11.1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM13885,,Cormohipparion,sp.,1,0,,,male,tmp4,right,12.0,20.3,0,12.4,6.4,9.9,12.8,0,12.4,11.3,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM422,,Cormohipparion,sp.,1,0,,,unknown,tmp2,no record,12.0,24.1,0,0,0,0,11.6,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM425,,Cormohipparion,sp.,1,0,,,unknown,tmp2,no record,12.0,25,0,0,0,0,11.5,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMDL,,Cormohipparion,sp.,1,0,,,unknown,tmp2,no record,12.0,25.5,0,0,0,0,12.3,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMDR,,Cormohipparion,sp.,1,0,,,unknown,tmp2,no record,12.0,24.3,0,0,0,0,11.5,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMEL,,Cormohipparion,sp.,1,0,,,unknown,mandible,norecord,12.0,319.2,83.7,71.9,65.5,136.5,82.2,43.7,144.5,138.3,72,54.2,37.5,64.9,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMEL424,,Cormohipparion,sp.,1,0,,,unknown,tmp2,no record,12.0,25,0,0,0,0,12.5,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMER428,,Cormohipparion,sp.,1,0,,,unknown,tmp2,no record,12.0,26.1,0,0,0,0,13.1,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMFR,,Cormohipparion,sp.,1,0,,,male,mandible,norecord,12.0,350.7,81.5,69.7,64.5,133.5,90,46.2,159.5,152.5,79.5,56.6,42.3,63.9,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMFR,,Cormohipparion,sp.,1,0,,,unknown,mandible,norecord,12.0,347.2,104.2,69.4,66.6,136.8,88.8,43.9,163,154.7,79,54.8,44.5,70.2,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMFR425,,Cormohipparion,sp.,1,0,,,unknown,tmp2,no record,12.0,23.3,0,0,0,0,11.4,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMG;124,,Cormohipparion,sp.,1,0,,,unknown,mandible,norecord,12.0,0,0,80.3,79.3,150.6,95.4,0,188.1,179.5,74.1,65.8,47.2,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMGr;87,,Cormohipparion,sp.,1,0,,,unknown,mandible,norecord,12.0,0,0,73.6,69,141.6,82.3,0,147.2,143.8,73.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMGR424,,Cormohipparion,sp.,1,0,,,unknown,tmp2,no record,12.0,25.4,0,0,0,0,12.3,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMHL,,Cormohipparion,sp.,1,0,,,unknown,mandible,norecord,12.0,335.1,82.6,72,70.7,142.7,83.3,46.5,154.4,148.5,73.6,50.9,41.2,64.8,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMHL428,,Cormohipparion,sp.,1,0,,,unknown,tmp2,no record,12.0,26.9,0,0,0,0,13.7,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMI,,Cormohipparion,sp.,1,0,,,male,mandible,norecord,12.0,366.8,93.2,83,78.4,160.7,97.4,0,181.5,173.8,96.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMKr,,Cormohipparion,sp.,1,0,,,male,mandible,norecord,12.0,371,101,73.5,71.8,143.3,106.5,0,183,175,95.6,62.3,45.1,80,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMLL,,Cormohipparion,sp.,1,0,,,unknown,mandible,norecord,12.0,0,0,71.3,66.4,139,93,0,152.4,143.9,78,56.1,40.8,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMLr,,Cormohipparion,sp.,1,0,,,male,mandible,norecord,12.0,357,97.5,75,71.5,148,88,47,183,175,87,62.2,46,69.3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMLR,,Cormohipparion,sp.,1,0,,,unknown,mandible,norecord,12.0,0,0,81.8,78.8,160.3,99.2,0,177.5,171.1,96.5,62.8,47.6,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMM;87,,Cormohipparion,sp.,1,0,,,unknown,mandible,norecord,12.0,0,0,74.3,73.4,146.4,95.2,0,179.7,163.6,84.2,56.7,39,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMO,,Cormohipparion,sp.,1,0,,,unknown,tmp2,no record,12.0,24.1,0,0,0,0,11.6,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMO;111,,Cormohipparion,sp.,1,0,,,female,mandible,norecord,12.0,0,90.5,67.3,62.8,128.7,0,44.4,0,0,0,53.5,38.9,60.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMP**,,Cormohipparion,sp.,1,0,,,unknown,mandible,norecord,12.0,0,0,77.5,72.5,151,107,0,193.5,103,88.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMQ,,Cormohipparion,sp.,1,0,,,female,mandible,norecord,12.0,351.2,101.5,79.1,73.1,142.7,85.3,44,158.3,144.7,73.8,0,0,66.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMQ421,,Cormohipparion,sp.,1,0,,,unknown,tmp2,no record,12.0,24.3,0,0,0,0,11.4,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMRR,,Cormohipparion,sp.,1,0,,,unknown,mandible,norecord,12.0,0,0,63.5,66,128.5,99.5,0,142,135.5,79.5,53.5,45,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMS,,Cormohipparion,sp.,1,0,,,unknown,mandible,norecord,12.0,0,0,72.6,77,150,93.3,0,196,188,98.1,60.7,47.7,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMTL,,Cormohipparion,sp.,1,0,,,unknown,mandible,norecord,12.0,338,103.5,58.8,62.4,120.3,99.7,64.4,167.3,165,73,53.5,46,43.9,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMTR,,Cormohipparion,sp.,1,0,,,unknown,mandible,norecord,12.0,0,0,52.5,62.9,119.3,98,0,169,165,72.7,56.1,47.1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMUR,,Cormohipparion,sp.,1,0,,,unknown,mandible,norecord,12.0,369,103.5,74,77,152,100,0,170,159,95,60,48,69,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAMVR,,Cormohipparion,sp.,1,0,,,male,mandible,norecord,12.0,0,108,73,73,147.5,0,44,0,0,85,71,68.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
USNM399046,P,Equus,caballus,1,0,Baltimore Zoo,19-Jul-1950,unknown,a1ph3,left,recent,110.3,103.2,53.4,80.1,52.7,68.9,61.1,38.5,63.9,88.0,87.1,20.2,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM399046,P,Equus,caballus,1,0,Baltimore Zoo,19-Jul-1950,unknown,a2ph3,left,recent,63.0,44.4,66.0,78.8,47.7,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM399046,P,Equus,caballus,1,0,Baltimore Zoo,19-Jul-1950,unknown,ast,left,recent,83.3,84.8,43.4,92.1,73.0,51.1,74.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM399046,P,Equus,caballus,1,0,Baltimore Zoo,19-Jul-1950,unknown,calc,left,recent,155.6,100.1,31.2,48.1,70.1,74.4,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM399046,P,Equus,caballus,1,0,Baltimore Zoo,19-Jul-1950,unknown,mciii,left,recent,273.6,263.1,53.0,38.1,72.1,44.5,56.0,22.8,,68.0,70.1,53.5,41.5,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM399046,P,Equus,caballus,1,0,Baltimore Zoo,19-Jul-1950,unknown,mtiii,left,recent,326.8,314.9,48.9,43.9,72.0,63.6,66.4,18.5,,72.0,68.5,52.3,39.1,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM399046,P,Equus,caballus,1,0,Baltimore Zoo,19-Jul-1950,unknown,p1ph3,left,recent,104.9,96.8,51.7,78.6,53.7,64.0,58.6,34.6,55.7,71.1,80.2,24.0,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM399046,P,Equus,caballus,1,0,Baltimore Zoo,19-Jul-1950,unknown,p2ph3,left,recent,63.7,45.5,62.9,76.0,47.6,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM33354,,Cormohipparion,sp.,1,1,Hans Johnson Q,,unknown,txM1,right,10.0,19.7,0,22.4,0,0,1,3,3,0,7.4,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM33354,,Cormohipparion,sp.,1,1,Hans Johnson Q,,unknown,txM2,right,10.0,21.3,0,22.5,0,0,1,3,1,1,7.8,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM33354,,Cormohipparion,sp.,1,1,Hans Johnson Q,,unknown,txP3,right,10.0,23.3,0,22.9,0,15.6,0,0,1,1,8.4,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM33354,,Cormohipparion,sp.,1,1,Hans Johnson Q,,unknown,txP4,right,10.0,21.3,0,23.6,0,0,1,2,1,1,7.9,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM341-161,,Cormohipparion,sp.,1,1,Hans Johnson Q,,unknown,txP2,right,10.0,27,23.9,20.9,19.8,14.1,0,0,0,0,8.3,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM341-161,,Cormohipparion,sp.,1,1,Hans Johnson Q,,unknown,txP3,right,10.0,24.8,22.1,24.2,23.3,21.9,0,2,1,0,10,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,mandible,left,10.0,342.8,106.5,59.5,62.8,123.8,92.4,43.5,141,129.6,72.3,68.4,50.8,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,skull,no record,10.0,120,0,0,61.5,0,0,68,62.2,129.7,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,53.6,0,115.9,0,48.5,0,60.8,38.5,27.6,40,52.8,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,tmc,left,10.0,9.9,0,0,0,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,tmi1,left,10.0,10.2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,tmi2,left,10.0,10.8,0,0,0,0,8.7,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,tmi3,left,10.0,11.9,0,0,0,0,8.6,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,tmm1,left,10.0,17.4,0,12.6,5.4,6,11.4,0,11,8.6,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,tmm2,left,10.0,17.3,0,10.9,6,6,10.3,0,10.8,8.2,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,tmm3,left,10.0,24.6,0,10.5,5.7,5.8,9.7,0,8.9,7,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,tmp2,left,10.0,22.6,0,9.5,0,5.7,11.9,0,9,11.2,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,tmp3,left,10.0,19.3,0,9.9,6.8,7.7,13.7,0,13.6,13,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,tmp4,left,10.0,17.6,0,11.8,4.8,8.3,13.3,0,12.3,11,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,txC,left,10.0,11.5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,txI1,right,10.0,12.1,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,txI2,right,10.0,11.5,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,txI3,right,10.0,13.2,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,txM1,right,10.0,18.1,0,21.8,0,0,0,4,5,1,8.3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,txM2,right,10.0,18.9,0,20.9,0,0,0,2,3,1,7.7,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,txM3,right,10.0,23.7,0,19.6,0,0,1,4,4,0,9.3,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,txP2,right,10.0,27.8,0,21.5,0,0,0,0,0,0,6.5,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,txP3,right,10.0,21.4,0,23.8,0,0,0,2,0,0,8,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71855,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,txP4,right,10.0,19.7,0,23.6,0,0,0,1,2,0,8.5,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM71856,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,skull,no record,10.0,0,98,98.2,85.1,175.6,0,72.8,63.3,134.2,73,25.3,33,55.6,36.4,54.3,76.2,121.6,124,130.8,0,88.5,0,0,0,85.6,0,0,55.8,49.5,0,140.6,39.8,62,65,0,30.3,45,48.2,,
FAM71856,,Cormohipparion,occidentale,1,1,Hans Johnson Q,,male,txC,right,10.0,12.7,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
