"","Site","EAP.Acc.","Provenience..field.number.","ID.Catalog...cat..element.or.portion.","Specimen.Catalog...cat..organism.","Cantryll.Test...test..analyst.sample.number.","Period","Date","ID","Element","Side","Description.completeness","Age..modern.only.","Fusion","Cantryll.notes","variable","value","template"
"6499","Aguateca","EAP0638","AG31B-14-2-1","359","n/a","902AG","Late Classic","A.D. 730-810","Odocoileus virginianus","astragalus","left","whole",NA,"","","Humerus.GLC",NA,"Humerus length from caput"
"6500","Cancuen","EAP0669","CAN 40-47-2","935","n/a","906C","Late Classic","","Odocoileus virginianus","metatarsal","L","proximal",NA,"fused","906C metatarsal Odocoileus 50% shaft split longitudelly in three places; original data sheet records four fragments only three are in the bag. The missing frag represents 25% of the shaft. Measurements are from refit.  ","Humerus.GLC",NA,"Humerus length from caput"
"6501","Cancuen","EAP0669","CAN 42-15-3","1206","n/a","929C","Late Classic","","Odocoileus virginianus","humerus","L","distal",NA,"fused distal epiphysis","929C humerus Odocoileus distal 80% proximal end absent. A series of cut-marks mid-shaft.","Humerus.GLC",NA,"Humerus length from caput"
"6502","Cancuen","EAP0669","CAN 42-6-3","1257","n/a","924C","Late Classic","","Odocoileus virginianus","tibia","L","distal",NA,"fused distal epiphysis","924C tibia Odocoileus distal 40% SD is a little higher up the shaft than usual but it’s a bigger usual animal.","Humerus.GLC",NA,"Humerus length from caput"
"6503","Cancuen","EAP0669","CAN 42-6-3","1259","n/a","927C","Late Classic","","Odocoileus virginianus","tibia","R","distal",NA,"fused distal epiphysis","","Humerus.GLC",NA,"Humerus length from caput"
"6504","Cancuen","EAP0669","CAN 42-13-3","1189","n/a","921C","Late Classic","","Odocoileus virginianus","radius","L","distal",NA,"fused epiphysis","921C radius Odocoileus distal 50% almost certainly the distal end of sample 920C the pattern of ridged woven bone continues.  ","Humerus.GLC",NA,"Humerus length from caput"
"6505","Cancuen","EAP0669","CAN 42-13-3","1190","n/a","922C","Late Classic","","Odocoileus virginianus","ulna","L","proximal",NA,"fused epiphysis","922C ulna Odocoileus olecranon superior crest unfused and absent.","Humerus.GLC",NA,"Humerus length from caput"
"6506","Cancuen","EAP0669","CAN 42-13-3","1188","n/a","920C","Late Classic","","Odocoileus virginianus","radius","R","proximal",NA,"fused epiphysis","920C radius Odocoileus proximal 40% pathology a ridge of rough woven bone parallel to the ulnar groove.","Humerus.GLC",NA,"Humerus length from caput"
"6507","Cancuen","EAP0669","CAN 42-13-3","1192","n/a","915C","Late Classic","","Odocoileus virginianus","metacarpal","","distal",NA,"fused epiphysis","","Humerus.GLC",NA,"Humerus length from caput"
"6508","Cancuen","EAP0669","CAN 42-13-3","1193","n/a","911C","Late Classic","","Odocoileus virginianus","metacarpal","","distal",NA,"fused epiphysis","911C metacarpal Odocoileus distal 25%  epiphysis closed but still visible. Bone is browned inside and out.","Humerus.GLC",NA,"Humerus length from caput"
"6509","Cancuen","EAP0669","CAN 42-13-3","1186","n/a","914C","Late Classic","","Odocoileus virginianus","tibia","R","distal",NA,"fused epiphysis  ","914C tibia Ododcoileus distal 60% multiple shallow cut-marks on anterior side of shaft","Humerus.GLC",NA,"Humerus length from caput"
"6510","Cancuen","EAP0669","CAN 42-13-3","1180","n/a","919C","Late Classic","","Odocoileus virginianus","femur","L","proximal",NA,"fused epiphysis (but line of fusion still visible)","","Humerus.GLC",NA,"Humerus length from caput"
"6511","Cancuen","EAP0669","CAN 42-13-3","1185","n/a","913C","Late Classic","","Odocoileus virginianus","tibia","L","proximal",NA,"fused epiphysis (but line of fusion still visible)","913C tibia Odocoileus proximal 15% epiphysis fused but visible.","Humerus.GLC",NA,"Humerus length from caput"
"6512","Cancuen","EAP0669","CAN 42-13-3","1182","n/a","912C","Late Classic","","Odocoileus virginianus","femur","R","proximal",NA,"fused epiphysis (but line of fusion still visible)","912C femur Odocoileus proximal 10% femoral head only Dp available.","Humerus.GLC",NA,"Humerus length from caput"
"6513","Cancuen","EAP0669","CAN 42-13-3","1183","n/a","916C","Late Classic","","Odocoileus virginianus","femur","R","distal",NA,"fused epiphysis (but line of fusion still visible)","","Humerus.GLC",NA,"Humerus length from caput"
"6514","Cancuen","EAP0669","CAN 42-6-3","1255","n/a","925C","Late Classic","","Odocoileus virginianus","femur","R","almost whole",NA,"fused proximal and distal epiphyses","925C femur Odocoileus (Huge) proximal and distal ends refit for GL and SD failed.","Humerus.GLC",NA,"Humerus length from caput"
"6515","Cancuen","EAP0669","CAN 42-6-3","1256","n/a","926C","Late Classic","","Odocoileus virginianus","tibia","L","proximal   ",NA,"fused proximal epiphysis","926C tibia Odocoileus proximal 40%  beautiful tortishell patina on these samples.","Humerus.GLC",NA,"Humerus length from caput"
"6516","Cancuen","EAP0669","CAN 42-6-3","1258","n/a","923C","Late Classic","","Odocoileus virginianus","tibia","R","proximal",NA,"fused proximal epiphysis","923C tibia Odocoleus proximal 10% significant erosion on the lateral edge of articular surface Bp suspect.  ","Humerus.GLC",NA,"Humerus length from caput"
"6517","Cancuen","EAP0669","CAN 38-5-7","566","n/a","900C","Late Classic","","Mazama sp.","femur","L","almost whole",NA,"fusion/size","900C femur Mazama sp 90% trochanter absent, lateral condyle broken attempted refit failed. First relatively intact long bone for Mazama.  Smallest diameter is one third down from femoral head.  ","Humerus.GLC",NA,"Humerus length from caput"
"6518","Cancuen","EAP0669","CAN 38-5-9","571","n/a","905C","Late Classic","","Odocoileus virginianus","metacarpal","L","proximal",NA,"fusion/size","905C metacarpal Odocoileus 75% significant trowel trauma.  ","Humerus.GLC",NA,"Humerus length from caput"
"6519","Cancuen","EAP0669","CAN 25C-57-3","532","n/a","937C ","Late Classic","","Odocoileus virginianus","femur","R","distal",NA,"fusion/size","937C femur Odocoileus distal 30% Dd only. Very eroded, shaft cut through at 90 degrees.","Humerus.GLC",NA,"Humerus length from caput"
"6520","Cancuen","EAP0669","CAN 25A-72-2","785","n/a","902C","Late Classic","","Odocoileus virginianus","radius","R","proximal",NA,"fusion/size","902C radius Odocoileus proximal 60% minor erosion around articular facet.","Humerus.GLC",NA,"Humerus length from caput"
"6521","Cancuen","EAP0669","CAN 25A-95-2","715","n/a","903C","Late Classic","","Odocoileus virginianus","radius","R","proximal",NA,"fusion/size","903C radius Odocoileus proximal 80% very large individual; possibly for Sr analysis","Humerus.GLC",NA,"Humerus length from caput"
"6522","Cancuen","EAP0669","CAN 42-15-3","1213","n/a","928C","Late Classic","","Odocoileus virginianus","scapula","L","almost whole",NA,"fusion/size (line of fusion at glenoid fossa still slightly visible)","928C scapula Odocoileus distal 40% spread sheet lists this specimen as almost complete. Sample observed in the bag scapular neck and glenoid complete, large section of scapular spine, another section of the anterior margin no refit possible.","Humerus.GLC",NA,"Humerus length from caput"
"6523","Cancuen","EAP0669","CAN 42-15-3","1235","n/a","933C","Late Classic","","Odocoileus virginianus","metatarsal","L","whole",NA,"proximal and distal epiphyses fused","933C metatarsal Odocoileus almost complete lateral condyle broken off bagged and cataloged separately as 1212 perfect refit.","Humerus.GLC",NA,"Humerus length from caput"
"6524","Cancuen","EAP0669","CAN 42-15-3","1234","n/a","932C","Late Classic","","Odocoileus virginianus","metacarpal","L","proximal",NA,"proximal epiphysis fused","","Humerus.GLC",NA,"Humerus length from caput"
"6525","Cancuen","EAP0669","CAN 42-15-3","1207","n/a","931C","Late Classic","","Odocoileus virginianus","astragalus","L","whole",NA,"size","","Humerus.GLC",NA,"Humerus length from caput"
"6526","Cancuen","EAP0669","CAN 42-15-3","1208","n/a","930C","Late Classic","","Odocoileus virginianus","calcaneum","L","whole",NA,"size","","Humerus.GLC",NA,"Humerus length from caput"
"6527","Cancuen","EAP0669","CAN 42-7-3","1308","n/a","908C","Late Classic","","Odocoileus virginianus","calcaneum","R","whole",NA,"size","","Humerus.GLC",NA,"Humerus length from caput"
"6528","Cancuen","EAP0669","CAN 25A-27-2","405","n/a","904C","Late Classic","","Odocoileus virginianus","femur","R","distal",NA,"size/fusion","904C femur Odocoileus distal 30% modified. Very prominent muscles attachments. shaft cut and snapped horizontally through middle of shaft; incised groove incised around circumference of shaft just below break; cut mark on lateral side of lateral condyle very large individual.","Humerus.GLC",NA,"Humerus length from caput"
"6529","Cancuen","EAP0669","CAN 25A-14-2","402","n/a","907c","Late Classic","","Odocoileus virginianus","humerus","R","distal",NA,"size/fusion","","Humerus.GLC",NA,"Humerus length from caput"
"6530","Cancuen","EAP0669","CAN 42-7-3","1309","n/a","909C","Late Classic","","Odocoileus virginianus","metatarsal","R","proximal 0.75",NA,"size/fusion","","Humerus.GLC",NA,"Humerus length from caput"
"6531","Cancuen","EAP0669","CAN 42-7-3","1310","n/a","910C","Late Classic","","Odocoileus virginianus","metatarsal","R","almost whole",NA,"size/fusion","910C metatarsal Odocoileus proximal and distal ends of the same bone missing a cross section of mid shaft. Lateral distal condyle is broken off BFd is a refit. smaller individual than #1309 (MNI = 2)","Humerus.GLC",NA,"Humerus length from caput"
"6532","Cancuen","EAP0669","CAN 25A-34-2","412","n/a","901C","Late Classic","","Odocoileus virginianus","tibia","R","distal",NA,"size/fusion","901C tibia Odocoileus distal 30% Bd and Dd only. Cat.# 412-415 all from same individual (412-419 probably all from same indiv.); large individual","Humerus.GLC",NA,"Humerus length from caput"
"6533","Cancuen","EAP0669","CAN 42-13-3","1181","n/a","917C","Late Classic","","Odocoileus virginianus","femur","L","distal",NA,"fused but visible","916C femur Odocoileus distal 25%.  Epiphysis visible but fused, cut-marks on anterior shaft.  ","Humerus.GLC",NA,"Humerus length from caput"
"6534","Cancuen","EAP0669","CAN 42-15-3","1211","n/a","935C","Late Classic","","Odocoileus virginianus","intermediate phalanx","L","whole",NA,"","935C phalanx2 Odocoileus complete left side. Sample bag 1211 contained two phalanx2 a left and a right that might be one individual. The right side specimen is listed below as 936C.","Humerus.GLC",NA,"Humerus length from caput"
"6535","Cancuen","EAP0669","CAN 42-13-3","1184","n/a","918C","Late Classic","","Odocoileus virginianus","tibia","L","proximal",NA,"","","Humerus.GLC",NA,"Humerus length from caput"
"6536","Cancuen","EAP0669","CAN 42-15-3","1211","n/a","936C","Late Classic","","Odocoileus virginianus","intermediate phalanx","R","whole",NA,"","936C phalanx2 Odocoileus complete Right side.","Humerus.GLC",NA,"Humerus length from caput"
"6537","Cancuen","EAP0669","CAN 42-15-3","1210","n/a","934C","Late Classic","","Odocoileus virginianus","proximal phalanx","","whole",NA,"","large size","Humerus.GLC",NA,"Humerus length from caput"
"6538","Copan","EAP0634","I-7-291","","n/a","205C","Late Classic","2=600-700AD","Odocoileus virginianus","2nd phalanx","L","complete",NA,"fused","205 phalanx2 Cervid complete. Identified as artidactyl on the label, Odocoileus v. is most likely.","Humerus.GLC",NA,"Humerus length from caput"
"6539","Copan","EAP0634","I-28-45","","n/a","203C","?","","Odocoileus virginianus","astragalus","L","complete",NA,"fused","","Humerus.GLC",NA,"Humerus length from caput"
"6540","Copan","EAP0634","I-28-28","","n/a","202C","Early Classic","5?=100-400AD","Odocoileus virginianus","calcaneum","L","almost complete",NA,"fused","202C calcaneus Odocoileus v. almost complete, medial wing of the articulation has been broken or cut away, small individual quite dense. Single peak Photo","Humerus.GLC",NA,"Humerus length from caput"
"6541","Copan","EAP0634","I-6-277","","n/a","206C","Early Classic","4/5=100-500AD","Odocoileus virginianus","calcaneum","L","almost complete",NA,"fused","206C calcaneus Odocoileus v. almost complete breakage/erosion of ventral surface makes GDi unusable. Single peak photo.","Humerus.GLC",NA,"Humerus length from caput"
"6542","Copan","EAP0634","I-28-3","","n/a","204C","?","","Odocoileus virginianus","humerus","L","distal .1",NA,"fused","204C humerus Odocoileus v. distal 10% dark iron staining.","Humerus.GLC",NA,"Humerus length from caput"
"6543","Copan","EAP0634","I-24-43","","n/a","200C","Early-Late Classic","3/2=500-700AD","Odocoileus virginianus","radius","L","proximal 2",NA,"fused","200C radius Odocoileus v. proximal 20% posterior lip eroded Dp suspect, specimen has a polished aspect and is very white; possibly cooked.","Humerus.GLC",NA,"Humerus length from caput"
"6544","Copan","EAP0634","49-5-52","","n/a","207C","Late Classic","1=700-800AD","Odocoileus virginianus","radius","L","proximal .1",NA,"fused","207C radius Odocoileus v. proximal 10% articulation only.","Humerus.GLC",NA,"Humerus length from caput"
"6545","Copan","EAP0634","I-28-7","","n/a","201C","Early Classic","5?=100-400AD","Odocoileus virginianus","scapula","L","distal .3",NA,"unfused","201C scapula Odocoileus distal 30% scapula neck and glenoid surface, glenoid process is unfused, most inferior tip of scapular spine is unfused, very young and small animal possibly Mazama sp. Rather than Odocoileus v.","Humerus.GLC",NA,"Humerus length from caput"
"6546","Cueva de los Quetzales","EAP0635","CQ1-11-10","2","n/a","319CQ","Early Classic","","Artidactyla","1st phalanx","L","complete",NA,"fused","319CQ phalanx1 artidactyl complete listed on tag as artidactyl almost certainly Odocoileus. Pathology, extensive bone remodeling on the ventral-medial facet.","Humerus.GLC",NA,"Humerus length from caput"
"6547","Cueva de los Quetzales","EAP0635","CQ1-16-5","3","n/a","308CQ","Early Classic","","Odocoileus virginianus","1st phalanx","L","complete",NA,"fused","","Humerus.GLC",NA,"Humerus length from caput"
"6548","Cueva de los Quetzales","EAP0635","CQ1-11-12","1","n/a","326CQ","Early Classic","","Odocoileus virginianus","femur","L","distal .3",NA,"fused","326CQ femur Odocoileus v. distal 30% epiphysis is fused but clearly visible, cut-marks indicative of bone working.","Humerus.GLC",NA,"Humerus length from caput"
"6549","Cueva de los Quetzales","EAP0635","CQ1-11-6","1","n/a","324CQ","Early Classic","","Odocoileus virginianus","humerus","L","distal .7",NA,"fused","324CQ humerus Odocoileus v. distal 70% almost entire shaft is intact.  Proximal end missing, medial surface of trochlea severely eroded.","Humerus.GLC",NA,"Humerus length from caput"
"6550","Cueva de los Quetzales","EAP0635","CQ1-10-14","1","n/a","300CQ","Early Classic","","Odocoileus virginianus","metacarpal","L","distal .2",NA,"fused","300CQ metacarpal Odocoileus v. distal 20%","Humerus.GLC",NA,"Humerus length from caput"
"6551","Cueva de los Quetzales","EAP0635","CQ1-9-2","3","n/a","301CQ","Early Classic","","Odocoileus virginianus","metacarpal","L","distal .6",NA,"fused","301CQ metacarpal Odocoileus v. distal 60% gnaw marks on condyles.","Humerus.GLC",NA,"Humerus length from caput"
"6552","Cueva de los Quetzales","EAP0635","CQ1-14-10","43","n/a","305CQ","Early Classic","","Odocoileus virginianus","radius","L","proximal .3",NA,"fused","305CQ radius Odocoileus v. proximal 30%.","Humerus.GLC",NA,"Humerus length from caput"
"6553","Cueva de los Quetzales","EAP0635","CQ1-15-10","14","n/a","312CQ","Early Classic","","Odocoileus virginianus","radius","L","proximal .8",NA,"fused","312CQ radius Odocoileus v. proximal 90% distal end of the bone is missing. possible gnaw marks?  ","Humerus.GLC",NA,"Humerus length from caput"
"6554","Cueva de los Quetzales","EAP0635","CQ1-15-10","10","n/a","313CQ","Early Classic","","Odocoileus virginianus","radius","L","Proximal .5",NA,"fused","313CQ radius Odocoileus v. proximal 50% erosion of articular lip.","Humerus.GLC",NA,"Humerus length from caput"
"6555","Cueva de los Quetzales","EAP0635","LQ1A-4-1","","n/a","315CQ","no date","","Odocoileus virginianus","radius","L","proximal .6",NA,"fused","315CQ Radius Odocoileus v. proximal 60%--Las Pacayas LQ1A-4-1 unclear if this is intrusive or a subset? Recorded can be discarded later.  ","Humerus.GLC",NA,"Humerus length from caput"
"6556","Cueva de los Quetzales","EAP0635","CQ1-11-9","11","n/a","321CQ","Early Classic","","Odocoileus virginianus","radius","L","distal .5",NA,"fused","","Humerus.GLC",NA,"Humerus length from caput"
"6557","Cueva de los Quetzales","EAP0635","CQ1-11-7","2","n/a","322CQ","Early Classic","","Odocoileus virginianus","radius","L","almost complete",NA,"fused","322CQ radius Odocoileus v. almost complete, 4 fragments from the distal end have been refitted and glued into place, one or more fragments from the anterior surface are missing, Dd is suspect.","Humerus.GLC",NA,"Humerus length from caput"
"6558","Cueva de los Quetzales","EAP0635","CQ1-11-11","3","n/a","325CQ","Early Classic","","Odocoileus virginianus","radius","L","proximal .4",NA,"fused","325CQ radius Odocoileus v. proximal 40% SD not available, extensive bone remodeling on posterior surface, numerous cut-marks on posterior surface indicative of bone work.","Humerus.GLC",NA,"Humerus length from caput"
"6559","Cueva de los Quetzales","EAP0635","CQ1-11-17","1","n/a","328CQ","Early Classic","","Odocoileus virginianus","scapula","L","distal .4",NA,"fused","328CQ scapula Odocoileus v. distal 40% no species ID on tag. Scapula neck and glenoid only scapula neck is very short.","Humerus.GLC",NA,"Humerus length from caput"
"6560","Cueva de los Quetzales","EAP0635","CQ1-11-12","3","n/a","327CQ","Early Classic","","Artidactyla","2nd phalanx","R","complete",NA,"fused","327CQ phalanx2 artidactyl complete tagged as artidactyl almost certainly Odocoileus v.","Humerus.GLC",NA,"Humerus length from caput"
"6561","Cueva de los Quetzales","EAP0635","CQ1-16-5","5","n/a","309CQ","Early Classic","","Odocoileus virginianus","2nd phalanx","R","complete",NA,"fused","","Humerus.GLC",NA,"Humerus length from caput"
"6562","Cueva de los Quetzales","EAP0635","CQ1-10-6","7","n/a","304CQ","Early Classic","","Odocoileus virginianus","acetabulum","R","",NA,"fused","304CQ acetabulum Odocoileus v. beautiful preservation.","Humerus.GLC",NA,"Humerus length from caput"
"6563","Cueva de los Quetzales","EAP0635","CQ1-16-4","2","n/a","310CQ","Early Classic","","Odocoileus virginianus","acetabulum","R","",NA,"fused","310CQ acetabulum Odocoileus v. broken in half and refitted with glue, measurements should be valid.","Humerus.GLC",NA,"Humerus length from caput"
"6564","Cueva de los Quetzales","EAP0635","CQ1-7-1","11","n/a","303CQ","Early Classic","","Odocoileus virginianus","astragalus","R","complete",NA,"fused","303CQ astragalus Odocoileus v. complete large individual.","Humerus.GLC",NA,"Humerus length from caput"
"6565","Cueva de los Quetzales","EAP0635","CQ1-11-9","1","n/a","320CQ","Early Classic","","Odocoileus virginianus","humerus","R","distal .6",NA,"fused","","Humerus.GLC",NA,"Humerus length from caput"
"6566","Cueva de los Quetzales","EAP0635","CQ1-14-2","2","n/a","306CQ","Early Classic","","Odocoileus virginianus","metacarpal","R","proximal .7",NA,"fused","306CQ metacarpal Odocoileus v. proximal 70% broken in five fragments.","Humerus.GLC",NA,"Humerus length from caput"
"6567","Cueva de los Quetzales","EAP0635","CQ1-16-5","2","n/a","307CQ","Early Classic","","Odocoileus virginianus","metacarpal","R","complete",NA,"fused","307CQ metacarpal Odocoileus v. complete minor erosion at distal end scattered gnawing marks.  ","Humerus.GLC",NA,"Humerus length from caput"
"6568","Cueva de los Quetzales","EAP0635","CQ1-13-4","4","n/a","316CQ","Early Classic","","Odocoileus virginianus","radius","R","proximal .6",NA,"fused","316CQ radius Odocoileus v. proximal 60% post excavation erosion posterior edge of articulation.","Humerus.GLC",NA,"Humerus length from caput"
"6569","Cueva de los Quetzales","EAP0635","CQ1-15-3","2","n/a","317CQ","Early Classic","","Odocoileus virginianus","radius","R","proximal .5",NA,"fused","317CQ radius Odocoileus v. proximal 50% large individual.  Pathology posterior proximal surface remodeled bone possible infections, medial surface-rodent gnawing","Humerus.GLC",NA,"Humerus length from caput"
"6570","Cueva de los Quetzales","EAP0635","CQ1-11-7","1","n/a","323CQ","Early Classic","","Odocoileus virginianus","radius","R","almost complete",NA,"fused","323CQ radius Odocoileus v. almost complete, appears to have been broken in half and refitted with glue, lower portion of the ulna shaft has fused with the radius, older individual.  Extensive bone remodeling posterior proximal surface, some post excavation chipping of proximal lip.  ","Humerus.GLC",NA,"Humerus length from caput"
"6571","Cueva de los Quetzales","EAP0635","CQ1-10-13","6","n/a","302CQ","Early Classic","","Odocoileus virginianus","scapula","R","distal .4",NA,"fused","302CQ scapula Odocoileus v. distal 40 scapular neck and glenoid.","Humerus.GLC",NA,"Humerus length from caput"
"6572","Cueva de los Quetzales","EAP0635","CQ1-15-10","9","n/a","314CQ","Early Classic","","Odocoileus virginianus","ulna","R","proximal  .4",NA,"fused","314CQ ulna Odocoileus v. proximal 40% shaft broken, superior crest missing.","Humerus.GLC",NA,"Humerus length from caput"
"6573","Cueva de los Quetzales","EAP0635","CQ1-11-10","1","n/a","318CQ","Early Classic","","Odocoileus virginianus","humerus","L","distal .1",NA,"unfused","318CQ humerus Odocoileus v. distal 10% condyles only.","Humerus.GLC",NA,"Humerus length from caput"
"6574","Cueva de los Quetzales","EAP0635","CQ1-15-10","12","n/a","311CQ","Early Classic","","Odocoileus virginianus","metacarpal","L","proximal .9",NA,"unfused","311CQ metacarpal Odocoileus v. proximal 90% distal condyles are unfused otherwise perfect preservation.","Humerus.GLC",NA,"Humerus length from caput"
"6575","Ek Balam","no Acc#","2-1-2:201995","","n/a","715EB","","16th to 17th Century","Odocoileus virginianus","1st phalanx","L","complete",NA,"fused","","Humerus.GLC",NA,"Humerus length from caput"
"6576","Ek Balam","no Acc#","2-1-2:201995","","n/a","717EB","","16th to 17th Century","Odocoileus virginianus","2nd phalanx","L","complete",NA,"fused","","Humerus.GLC",NA,"Humerus length from caput"
"6577","Ek Balam","no Acc#","2-1-2:201995","","n/a","710EB","","16th to 17th Century","Odocoileus virginianus","acetabulum","L","",NA,"fused","","Humerus.GLC",NA,"Humerus length from caput"
"6578","Ek Balam","no Acc#","2-1-2:201995","","n/a","718EB","","16th to 17th Century","Odocoileus virginianus","astragalus","L","complete",NA,"fused","","Humerus.GLC",NA,"Humerus length from caput"
"6579","Ek Balam","no Acc#","2-1-2:201995","","n/a","706EB","","16th to 17th Century","Odocoileus virginianus","metacarpal","L","proximal .4",NA,"fused","","Humerus.GLC",NA,"Humerus length from caput"
"6580","Ek Balam","no Acc#","2-1-2:201995","","n/a","708EB","","16th to 17th Century","Mazama sp.","metatarsal","L","proximal .8",NA,"fused","","Humerus.GLC",NA,"Humerus length from caput"
"6581","Ek Balam","no Acc#","2-1-2:201995","","n/a","707EB","","16th to 17th Century","Odocoileus virginianus","metatarsal","L","proximal .6",NA,"fused","707EB metatarsal Odocoileus v. proximal 60%  significant trowel damage.","Humerus.GLC",NA,"Humerus length from caput"
"6582","Ek Balam","no Acc#","2-1-2:201995","","n/a","712EB","","16th to 17th Century","Odocoileus virginianus","radius","L","complete",NA,"fused","","Humerus.GLC",NA,"Humerus length from caput"
"6583","Ek Balam","no Acc#","2-1-2:201995","","n/a","711EB","","16th to 17th Century","Odocoileus virginianus","scapula","L","distal .4",NA,"fused","711EB scapula Odocoileus v. distal 40% glenoid and scapular neck.","Humerus.GLC",NA,"Humerus length from caput"
"6584","Ek Balam","no Acc#","2-1-2:201995","","n/a","713EB","","16th to 17th Century","Odocoileus virginianus","ulna","L","proximal .5",NA,"fused","713EB ulna Odocoileus v. proximal 50% superior crest missing.  ","Humerus.GLC",NA,"Humerus length from caput"
"6585","Ek Balam","no Acc#","2-1-2:201995","","n/a","714EB","","16th to 17th Century","Odocoileus virginianus","ulna","L","proximal .5",NA,"fused","714EB ulna  Odocoileus v. proximal 60% posterior corner of superior crest broken and missing. Pathology deep groove superior to the lip of medial side, bone weathering is pronounced.  Notched on anterior edge of ulna shaft.","Humerus.GLC",NA,"Humerus length from caput"
"6586","Ek Balam","no Acc#","2-1-2:201995","","n/a","716EB","","16th to 17th Century","Odocoileus virginianus","1st phalanx","R","complete",NA,"fused","716EB phalanx1 Odocoileus v. complete, pathology: dense lump of woven bone on proximal inferior surface.","Humerus.GLC",NA,"Humerus length from caput"
"6587","Ek Balam","no Acc#","2-1-1:201795","","n/a","702EB","","16th to 17th Century","Odocoileus virginianus","astragalus","R","complete",NA,"fused","","Humerus.GLC",NA,"Humerus length from caput"
"6588","Ek Balam","no Acc#","2-1-1:201795","","n/a","701EB","","16th to 17th Century","Odocoileus virginianus","calcaneum","R","complete",NA,"fused","701EB calcaneus Odocoileus v. complete, one of a pair possibly from the same individual, articular facets of the second specimen are broken leaving no viable measurements. At 82mm this seems to be a large individual.","Humerus.GLC",NA,"Humerus length from caput"
"6589","Ek Balam","no Acc#","2-1-2:201995","","n/a","719EB","","16th to 17th Century","Odocoileus virginianus","calcaneum","R","complete",NA,"fused","719EB calcaneus Odocoileus v. complete on (the gracile side).","Humerus.GLC",NA,"Humerus length from caput"
"6590","Ek Balam","no Acc#","2-1-2B:202695","","n/a","703EB","","16th to 17th Century","Odocoileus virginianus","femur","R","distal .5",NA,"fused","703EB femur Odocoileus v. [?] distal 50% suspiciously large individual, prominent muscle scars, medial condyle to degraded for Bd, gnawing marks probably dog.  ","Humerus.GLC",NA,"Humerus length from caput"
"6591","Ek Balam","no Acc#","2-1-2:201995","","n/a","709EB","","16th to 17th Century","Odocoileus virginianus","femur","R","proximal .3",NA,"fused","709EB femur Odocoileus v. proximal 30% epiphysis fused but clearly visible.","Humerus.GLC",NA,"Humerus length from caput"
